ID [IRI]	LABEL
http://purl.obolibrary.org/obo/CL_0000582	neutrophilic metamyelocyte
http://purl.obolibrary.org/obo/CL_0000583	alveolar macrophage
http://purl.obolibrary.org/obo/CL_0000584	enterocyte
http://purl.obolibrary.org/obo/CL_0000586	germ cell
http://purl.obolibrary.org/obo/CL_0000587	cold sensing thermoreceptor cell
http://purl.obolibrary.org/obo/CL_0000588	odontoclast
http://purl.obolibrary.org/obo/CL_0000589	cochlear inner hair cell
http://purl.obolibrary.org/obo/CL_0000590	small luteal cell
http://purl.obolibrary.org/obo/CL_0000591	warmth sensing thermoreceptor cell
http://purl.obolibrary.org/obo/CL_0000592	large luteal cell
http://purl.obolibrary.org/obo/CL_0000593	androgen secreting cell
http://purl.obolibrary.org/obo/CL_0000594	skeletal muscle satellite cell
http://purl.obolibrary.org/obo/CL_0000595	enucleate erythrocyte
http://purl.obolibrary.org/obo/CL_0000598	pyramidal neuron
http://purl.obolibrary.org/obo/CL_0000601	cochlear outer hair cell
http://purl.obolibrary.org/obo/CL_0000602	pressoreceptor cell
http://purl.obolibrary.org/obo/CL_0000604	retinal rod cell
http://purl.obolibrary.org/obo/CL_0000609	vestibular hair cell
http://purl.obolibrary.org/obo/CL_0000611	eosinophil progenitor cell
http://purl.obolibrary.org/obo/CL_0000612	eosinophilic myelocyte
http://purl.obolibrary.org/obo/CL_0000613	basophil progenitor cell
http://purl.obolibrary.org/obo/CL_0000614	basophilic myelocyte
http://purl.obolibrary.org/obo/CL_0000617	GABAergic neuron
http://purl.obolibrary.org/obo/CL_0000618	sheath cell
http://purl.obolibrary.org/obo/CL_0000619	supporting cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000621	fusion competent myoblast
http://purl.obolibrary.org/obo/CL_0000622	acinar cell
http://purl.obolibrary.org/obo/CL_0000623	natural killer cell
http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/CL_0000626	olfactory granule cell
http://purl.obolibrary.org/obo/CL_0000629	storage cell
http://purl.obolibrary.org/obo/CL_0000630	supporting cell
http://purl.obolibrary.org/obo/CL_0000631	labyrinth supporting cell
http://purl.obolibrary.org/obo/CL_0000632	hepatic stellate cell
http://purl.obolibrary.org/obo/CL_0000633	Hensen cell
http://purl.obolibrary.org/obo/CL_0000634	Claudius cell
http://purl.obolibrary.org/obo/CL_0000635	Deiter's cell
http://purl.obolibrary.org/obo/CL_0000636	Mueller cell
http://purl.obolibrary.org/obo/CL_0000637	chromophil cell of anterior pituitary gland
http://purl.obolibrary.org/obo/CL_0000638	acidophil cell of pars distalis of adenohypophysis
