X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
134,3.8e-213,2.368920456,0.949,0.174,8.97e-209,Melanocytes,SLC25A4
135,0,2.362008756,0.588,0.014,0,Fibroblasts,MFAP5
136,4.68e-151,2.343639596,0.809,0.159,1.11e-146,Melanocytes,PDLIM3
137,0,2.335262199,0.745,0.102,0,Fibroblasts,PTN
138,0,2.329242115,0.437,0.016,0,Fibroblasts,PI16
139,0,2.312313228,0.918,0.091,0,Fibroblasts,LRP1
140,0,2.307227016,0.792,0.027,0,Melanocytes,CRYM
141,0,2.298825479,0.688,0.009,0,Keratinocytes,FGFBP1
142,0,2.294689506,0.378,0.025,0,Sweat gland cells,KRT7
143,0,2.293546673,0.944,0.054,0,Immune cells,LAPTM5
144,0,2.29187573,0.81,0.109,0,Neural cells,SEMA3B
145,0,2.29030683,0.882,0.002,0,Melanocytes,TRPM1
146,0,2.284721037,0.882,0.069,0,Melanocytes,GPR155
147,0,2.28120275,0.691,0.016,0,Vascular endothelial cells,SOX17
148,0,2.276518252,0.898,0.145,0,Fibroblasts,THY1
149,0,2.270883954,0.589,0.003,0,Immune cells,CLEC10A
150,0,2.24824617,0.343,0.003,0,Immune cells,C1QB
151,6.34e-164,2.245235735,0.428,0.081,1.5e-159,Sweat gland cells,CXCR4
152,9.18e-138,2.240609204,0.91,0.247,2.17e-133,Melanocytes,TPPP3
153,0,2.238622059,0.762,0.01,0,Keratinocytes,CCL27
154,0,2.23642535,0.858,0.176,0,Fibroblasts,AEBP1
155,0,2.231966162,0.963,0.248,0,Immune cells,HLA-DMA
156,0,2.206080037,0.64,0.051,0,Smooth muscle cells,GJA4
157,1.19e-140,2.20504404,0.831,0.191,2.81e-136,Melanocytes,PLEKHA5
158,0,2.203832052,0.762,0.196,0,Immune cells,DUSP2
159,0,2.201685376,0.52,0.006,0,Immune cells,MMP9
160,0,2.194570001,0.702,0.001,0,Neural cells,GFRA3
161,0,2.192738407,0.475,0.007,0,Immune cells,CCR7
162,0,2.190941118,0.728,0.065,0,Fibroblasts,THBS2
163,0,2.189649166,0.323,0.014,0,Sweat gland cells,IL7R
164,0,2.174588721,0.679,0.097,0,Fibroblasts,IGFBP6
165,0,2.173918379,0.554,0.001,0,Neural cells,PMP2
